MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,eligible_ap_ci95,eligible_hit10_ci95,eligible_hit1_ci95,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.5378697257342276,0.866787494336203,0.9184413230629814,0.9320344358858178,0.5610011742417016,0.9040642722117203,0.9579395085066162,0.972117202268431,,,,fold,protsent_late_150m@0,2116,2207,45.98,maxsim
0.6024398894591544,0.8237426370638876,0.8776619845944721,0.8894426823742637,0.658210314869482,0.9,0.9589108910891089,0.9717821782178218,,,,superfamily,protsent_late_150m@0,2020,2207,45.98,maxsim
0.5533572972136328,0.5786135024920707,0.7236067059356592,0.7430901676483915,0.7213582722684512,0.7542823390431187,0.9432959243945659,0.9686946249261665,,,,family,protsent_late_150m@0,1693,2207,45.98,maxsim
0.3075260515466288,0.7050294517444495,0.8300860897145447,0.8808337109198007,0.3207514157672069,0.7353497164461248,0.8657844990548205,0.9187145557655955,,,,fold,esm2_late_150m@0,2116,2207,46.08,maxsim
0.36280070645352097,0.6810149524241051,0.7870412324422292,0.8328047122791119,0.3963867124469905,0.744059405940594,0.8599009900990099,0.9099009900990099,,,,superfamily,esm2_late_150m@0,2020,2207,46.08,maxsim
0.43021240521656473,0.49750792931581334,0.6325328500226551,0.674218396012687,0.5608262128251379,0.648552864737153,0.8245717660956882,0.8789131718842291,,,,family,esm2_late_150m@0,1693,2207,46.08,maxsim
0.5965257115443583,0.8803806071590394,0.9234254644313548,0.9374716810149524,0.6221797000843095,0.918241965973535,0.9631379962192816,0.9777882797731569,,,,fold,esm2_late_150m@500,2116,2207,44.85,maxsim
0.6365853789074422,0.8418667874943362,0.8799275033982782,0.8935206162211147,0.6955167976478834,0.9198019801980198,0.9613861386138614,0.9762376237623762,,,,superfamily,esm2_late_150m@500,2020,2207,44.85,maxsim
0.579305998925178,0.6076121431807884,0.7258722247394653,0.7489805165382872,0.7551850795202999,0.7920850561134082,0.9462492616656822,0.9763733018310691,,,,family,esm2_late_150m@500,1693,2207,44.85,maxsim
0.594862901505754,0.8776619845944721,0.9252378794743996,0.9397371998187585,0.6204453797841207,0.915406427221172,0.9650283553875236,0.9801512287334594,,,,fold,protsent_late_150m@500,2116,2207,44.75,maxsim
0.6358804851558445,0.8359764386044404,0.8803806071590394,0.8930675124603534,0.6947466488806676,0.9133663366336634,0.9618811881188118,0.9757425742574257,,,,superfamily,protsent_late_150m@500,2020,2207,44.75,maxsim
0.5639201159642713,0.589941096511101,0.7267784322609878,0.7471681014952424,0.7351279952351722,0.7690490253987006,0.9474305965741288,0.974010632014176,,,,family,protsent_late_150m@500,1693,2207,44.75,maxsim
0.6038272331229078,0.8894426823742637,0.9265971907566832,0.940643407340281,0.6297952284982312,0.9276937618147448,0.9664461247637051,0.9810964083175804,,,,fold,esm2_late_150m@1000,2116,2207,44.84,maxsim
0.6396971619310863,0.8495695514272769,0.8853647485274128,0.8948799275033983,0.6989166516742116,0.9282178217821783,0.9673267326732673,0.9777227722772277,,,,superfamily,esm2_late_150m@1000,2020,2207,44.84,maxsim
0.5801829104810159,0.6189397371998188,0.7340280924331672,0.750339827820571,0.7563282241178986,0.8068517424689899,0.9568812758417011,0.9781453041937389,,,,family,esm2_late_150m@1000,1693,2207,44.84,maxsim
0.6151422679649999,0.8812868146805618,0.9252378794743996,0.940643407340281,0.641596874006973,0.9191871455576559,0.9650283553875236,0.9810964083175804,,,,fold,protsent_late_150m@1000,2116,2207,44.88,maxsim
0.654841256439783,0.8382419574082465,0.8812868146805618,0.8953330312641595,0.7154626994864361,0.9158415841584159,0.9628712871287128,0.9782178217821782,,,,superfamily,protsent_late_150m@1000,2020,2207,44.88,maxsim
0.570044129177068,0.5953783416402356,0.7281377435432714,0.7476212052560036,0.7431112776691017,0.7761370348493798,0.9492025989367986,0.9746012994683992,,,,family,protsent_late_150m@1000,1693,2207,44.88,maxsim
0.6091130453080337,0.8876302673312189,0.9256909832351609,0.942908926144087,0.6353083605835683,0.9258034026465028,0.9655009451795841,0.9834593572778828,"[0.6221, 0.6477]","[0.9575, 0.9731]","[0.9140, 0.9362]",fold,protsent_late_150m_prop@0,2116,2207,57.87,maxsim
0.6547064962002638,0.8450385138196647,0.8830992297236067,0.8957861350249207,0.7153154639178129,0.9232673267326733,0.9648514851485148,0.9787128712871287,"[0.7018, 0.7278]","[0.9564, 0.9728]","[0.9119, 0.9347]",superfamily,protsent_late_150m_prop@0,2020,2207,57.87,maxsim
0.5776782545593714,0.6035342093339374,0.7299501585863163,0.7489805165382872,0.7530631469654652,0.7867690490253987,0.9515652687536916,0.9763733018310691,"[0.7384, 0.7672]","[0.9403, 0.9622]","[0.7673, 0.8063]",family,protsent_late_150m_prop@0,1693,2207,57.87,maxsim
