MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,eligible_ap_ci95,eligible_hit10_ci95,eligible_hit1_ci95,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.34338926704337336,0.6950611690077028,0.8328047122791119,0.8867240598096964,0.35815695291338606,0.724952741020794,0.8686200378071833,0.9248582230623819,"[0.3462, 0.3705]","[0.8535, 0.8819]","[0.7060, 0.7420]",fold,esm2_dense,2116,2207,3.21,cosine
0.36435633725839006,0.638423198912551,0.7729950158586316,0.8255550521069325,0.398086354618449,0.6975247524752475,0.8445544554455445,0.901980198019802,"[0.3861, 0.4125]","[0.8287, 0.8604]","[0.6782, 0.7183]",superfamily,esm2_dense,2020,2207,3.21,cosine
0.32327177681566494,0.3828726778432261,0.5831445400996829,0.6397825101948346,0.4214180811767114,0.4991139988186651,0.7601890135853514,0.8340224453632605,"[0.4035, 0.4393]","[0.7377, 0.7803]","[0.4731, 0.5245]",family,esm2_dense,1693,2207,3.21,cosine
0.38767419978157586,0.6968735840507476,0.8328047122791119,0.8812868146805618,0.4043463889026171,0.7268431001890359,0.8686200378071833,0.9191871455576559,"[0.3902, 0.4189]","[0.8544, 0.8814]","[0.7070, 0.7434]",fold,esm2_zeroshot,2116,2207,29.92,maxsim
0.4333912536694218,0.6583597643860444,0.7838695061169008,0.8246488445854101,0.4735121271526802,0.7193069306930693,0.8564356435643564,0.900990099009901,"[0.4592, 0.4886]","[0.8421, 0.8718]","[0.7005, 0.7386]",superfamily,esm2_zeroshot,2020,2207,29.92,maxsim
0.4183739676516633,0.4612596284549162,0.6171273221567739,0.6579066606252831,0.5453935892541175,0.6012994683992912,0.8044890726520969,0.8576491435321913,"[0.5247, 0.5641]","[0.7850, 0.8240]","[0.5765, 0.6249]",family,esm2_zeroshot,1693,2207,29.92,maxsim
0.5752687910448946,0.8640688717716357,0.9211599456275487,0.9370185772541912,0.6000086114537251,0.9012287334593573,0.9607750472589792,0.9773156899810964,"[0.5864, 0.6123]","[0.9527, 0.9683]","[0.8885, 0.9126]",fold,esm2_late,2116,2207,11.82,maxsim
0.6136724634093476,0.8196647032170367,0.8781150883552333,0.8935206162211147,0.6704827360120941,0.8955445544554456,0.9594059405940594,0.9762376237623762,"[0.6573, 0.6839]","[0.9500, 0.9673]","[0.8812, 0.9084]",superfamily,esm2_late,2020,2207,11.82,maxsim
0.5354584938916926,0.5690983235160851,0.7227004984141369,0.7439963751699139,0.6980253372823185,0.74187832250443,0.9421145894861194,0.9698759598346132,"[0.6823, 0.7132]","[0.9297, 0.9533]","[0.7212, 0.7608]",family,esm2_late,1693,2207,11.82,maxsim
0.5579792500716199,0.8500226551880381,0.9211599456275487,0.93656547349343,0.5819755221682726,0.8865784499054821,0.9607750472589792,0.9768431001890359,"[0.5693, 0.5939]","[0.9523, 0.9688]","[0.8724, 0.8993]",fold,protsent_v2_dense,2116,2207,3.14,cosine
0.5986080241793915,0.784322609877662,0.8749433620299049,0.8889895786135025,0.6540237175068896,0.8569306930693069,0.9559405940594059,0.9712871287128713,"[0.6420, 0.6663]","[0.9470, 0.9644]","[0.8426, 0.8733]",superfamily,protsent_v2_dense,2020,2207,3.14,cosine
0.4955884824238907,0.5256003624830086,0.7086542818305392,0.7403715450838242,0.6460506678733177,0.6851742468989959,0.9238038984051978,0.965150620200827,"[0.6298, 0.6613]","[0.9102, 0.9362]","[0.6627, 0.7059]",family,protsent_v2_dense,1693,2207,3.14,cosine
0.5765964184065002,0.8595378341640235,0.9184413230629814,0.9383778885364749,0.6013933343209575,0.8965028355387523,0.9579395085066162,0.9787334593572778,"[0.5875, 0.6142]","[0.9485, 0.9660]","[0.8828, 0.9088]",fold,protsent_v2_zeroshot,2116,2207,29.98,maxsim
0.6252398288321547,0.8038060715903942,0.8749433620299049,0.892161304938831,0.6831209416992898,0.8782178217821782,0.9559405940594059,0.9747524752475247,"[0.6707, 0.6962]","[0.9470, 0.9639]","[0.8639, 0.8921]",superfamily,protsent_v2_zeroshot,2020,2207,29.98,maxsim
0.5247739970994084,0.5568645219755324,0.7149977344811962,0.7471681014952424,0.6840969944467775,0.7259303012404017,0.9320732427643237,0.974010632014176,"[0.6687, 0.6991]","[0.9191, 0.9439]","[0.7052, 0.7466]",family,protsent_v2_zeroshot,1693,2207,29.98,maxsim
0.5771222232914641,0.8608971454463072,0.9216130493883099,0.9415496148618033,0.6019417517978553,0.8979206049149339,0.9612476370510397,0.9820415879017014,"[0.5891, 0.6148]","[0.9527, 0.9698]","[0.8842, 0.9102]",fold,protsent_late,2116,2207,11.12,maxsim
0.6151857787947457,0.8051653828726778,0.8776619845944721,0.8948799275033983,0.6721361454455463,0.8797029702970297,0.9589108910891089,0.9777227722772277,"[0.6593, 0.6848]","[0.9500, 0.9673]","[0.8653, 0.8936]",superfamily,protsent_late,2020,2207,11.12,maxsim
0.5219766723348929,0.5514272768463978,0.7177163570457635,0.7453556864521975,0.6804503932918535,0.7188422917897224,0.9356172474896634,0.9716479621972829,"[0.6651, 0.6955]","[0.9238, 0.9474]","[0.6988, 0.7401]",family,protsent_late,1693,2207,11.12,maxsim
0.5989776320760457,0.8627095604893521,0.9252378794743996,0.9415496148618033,0.6247370671038908,0.8998109640831758,0.9650283553875236,0.9820415879017014,"[0.6114, 0.6376]","[0.9570, 0.9731]","[0.8871, 0.9126]",fold,protsent_late_480,2116,2207,31.3,maxsim
0.6391846421676656,0.80969642048029,0.8785681921159946,0.8935206162211147,0.6983566857742762,0.8846534653465347,0.9599009900990099,0.9762376237623762,"[0.6856, 0.7116]","[0.9505, 0.9678]","[0.8703, 0.8980]",superfamily,protsent_late_480,2020,2207,31.3,maxsim
